Store Number,Store Name,Address,City
20170-170947,Saratoga & Kiely,"405 Saratoga Ave, Suite 10 San Jose CA",San Jose
24780-238924,125 S Market - Cityview Plaza,"125 S Market St, 150 San Jose CA",San Jose
5295-848,Aborn & White,"2721 Aborn Rd, Ste. A, Orchid Plaza San Jose CA",San Jose
6553-63560,Winchester & Magliocco,804 South Winchester Boulevard San Jose CA,San Jose
74789-73690,Safeway-San Jose #997,"1663 Branham Ln, Oakridge Mall San Jose CA",San Jose
6960-72972,Oakridge Mall - San Jose,"925 Blossom Hill Road, 1625 San Jose CA",San Jose
76502-96148,Target San Jose East T-2238,"3155 Silver Creek Rd, Silver Creek Plaza San Jose CA",San Jose
10313-100107,Capitol Expy & Aborn,"1847 E. Capitol Expressway, Bel-Air San Jose CA",San Jose
11900-99680,N 1st St & Matrix Blvd,1751 North First Street San Jose CA,San Jose
20440-204464,Zanker & Villagio,"3350 Zanker Road, Building 1, Suite 10, Oakridge Mall San Jose CA",San Jose
6996-78308,Blossom Hill & Winfield,967 Blossom Hill Road San Jose CA,San Jose
24596-236064,SJC Terminal A Gate 6,"1701 Airport Blvd, San Jose, CA San Jose CA",San Jose
76265-93181,Target San Jose Oakridge T-1927,879 Blossom Hill Rd San Jose CA,San Jose
